 20251222-033715,[command] python run_expid.py --expid DIN_KuaiRand_0501 --gpu 0,[exp_id] DIN_KuaiRand_0501,[dataset_id] KuaiRand_0501,[train] N.A.,[val] logloss: 0.638429 - AUC: 0.807601,[test] logloss: 0.638243 - AUC: 0.807263
 20260102-102823,[command] python RL-TRL/DIN/run_expid.py --config ./config/ --expid DIN_Beauty_onerec_think --gpu 7,[exp_id] DIN_Beauty_onerec_think,[dataset_id] Beauty_onerec_think,[train] N.A.,[val] logloss: 0.684320 - AUC: 0.638667,[test] logloss: 0.685103 - AUC: 0.627996
 20260120-113734,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 2,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.316855 - AUC: 0.938266,[test] logloss: 0.318769 - AUC: 0.937309
 20260120-113950,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 2,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.368145 - AUC: 0.925279,[test] logloss: 0.365191 - AUC: 0.926901
 20260120-123913,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 4,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-130400,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-131003,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-131159,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.620453 - AUC: 0.775566,[test] logloss: 0.619316 - AUC: 0.779186
 20260120-131416,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-131531,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-131610,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-131630,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.691686 - AUC: 0.712957,[test] logloss: 0.691734 - AUC: 0.703413
 20260120-131931,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.640160 - AUC: 0.737521,[test] logloss: 0.653294 - AUC: 0.729568
 20260120-132003,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 18.021827 - AUC: 0.500000,[test] logloss: 18.021827 - AUC: 0.500000
 20260120-132312,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.693026 - AUC: 0.578990,[test] logloss: 0.693024 - AUC: 0.580067
 20260120-132406,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.693135 - AUC: 0.538004,[test] logloss: 0.693133 - AUC: 0.536398
 20260120-132551,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.693122 - AUC: 0.519202,[test] logloss: 0.693121 - AUC: 0.518897
 20260121-014537,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.684095 - AUC: 0.679699,[test] logloss: 0.684175 - AUC: 0.680175
 20260121-015146,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.599259 - AUC: 0.743920,[test] logloss: 0.602058 - AUC: 0.740835
 20260121-020634,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.598952 - AUC: 0.762068,[test] logloss: 0.600711 - AUC: 0.756332
 20260121-021310,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 1,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.594042 - AUC: 0.763242,[test] logloss: 0.598117 - AUC: 0.758494
 20260121-063807,[command] python run_expid.py --config ./config/ --expid DIN_KuaiRec_big --gpu 3,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 0.202034 - AUC: 0.969868,[test] logloss: 0.252550 - AUC: 0.961923
 20260125-164734,[command] python run_expid.py --expid DIN_KuaiRec_big --gpu 6,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 1.125378 - AUC: 0.783504,[test] logloss: 1.123673 - AUC: 0.783680
 20260126-162027,[command] python run_expid.py --expid DIN_KuaiRec_big --gpu 7,[exp_id] DIN_KuaiRec_big,[dataset_id] KuaiRec_big,[train] N.A.,[val] logloss: 1.050548 - AUC: 0.792393,[test] logloss: 1.047831 - AUC: 0.793517
